T	U0	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
(s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)
0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.00	1.00	0.95	1.00	0.95	1.00	0.95	1.00	0.95	1.00	0.95	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2.00	1.00	0.90	1.00	0.90	1.00	0.90	1.00	0.90	1.00	0.90	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	1.00	0.85	1.00	0.85	1.00	0.85	1.00	0.85	1.00	0.85	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	1.00	0.80	1.00	0.80	1.00	0.80	1.00	0.80	1.00	0.80	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	1.00	0.75	1.00	0.75	1.00	0.75	1.00	0.75	1.00	0.75	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	1.00	0.70	1.00	0.70	1.00	0.70	1.00	0.70	1.00	0.70	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	1.00	0.65	1.00	0.65	1.00	0.65	1.00	0.65	1.00	0.65	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	1.00	0.60	1.00	0.60	1.00	0.60	1.00	0.60	1.00	0.60	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	1.00	0.55	1.00	0.55	1.00	0.55	1.00	0.55	1.00	0.55	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	1.00	0.50	1.00	0.50	1.00	0.50	1.00	0.50	1.00	0.50	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	1.00	0.45	1.00	0.45	1.00	0.45	1.00	0.45	1.00	0.45	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

